id,palavra_chave
168,Python
168,Science
169,Business
169,Business Intelligence
169,Machine Learning
170,Subversion
171,Apache
171,Customer Experience
171,E-commerce
171,Python
171,White Label
172,Machine Learning
172,Python
173,Badges
173,Matlab
173,Saber
173,Tempo
174,Badges
174,Matlab
174,Saber
174,Tempo
175,Badges
175,Saber
175,Tempo
176,Badges
176,Matlab
176,Saber
176,Tempo
179,LiDAR
179,Machine Learning
179,Tempo
180,Machine Learning
180,Natural Language Processing
180,Saber
181,Analytics
182,Ad-hoc
182,Analysis
182,Analytics
182,Business
182,Campaigns
182,Communication
182,Conversion Optimization
182,Databases
182,Data Analysis
182,Data Visualization
182,Digital Media
182,E-commerce
182,English
182,Integrated Marketing
182,Latin
182,Latin America
182,Management
182,Marketing
182,Numeracy
182,Optimization
182,Planning
182,Policy
182,Portuguese
182,Project Management
182,Social Media
182,Web Analytics
183,Analytics
183,Big Data
183,Marketing
185,Marketing
185,Oracle
186,ISO 27001
187,Access
187,Access Control
187,Affirmative Action
187,Application Security
187,Business
187,Communication
187,Computer Science
187,Consulting
187,Equal Employment Opportunity
187,Escalation
187,Full Cycle
187,Governance
187,Infrastructure
187,Leadership
187,Management
187,Options
187,Planning
187,Pre-sales
187,Professional Services
187,Programming
187,Recruiting
187,SAP Basis
187,SAP ERP
187,SAP Netweaver
187,Science
187,Screening
187,Security
187,Software
188,Balance
188,Immunology
188,Marketing
188,Pipelines
188,Treatment
189,Saber
190,Capital
190,E-commerce
190,Saber
191,Analytics
191,Asset Management
191,Financial Services
191,History
191,Insurance
191,Latin
191,Life Insurance
191,Management
191,Real Estate
191,Saber
191,Symbol
191,Tableau
192,Briefing
192,Marketing
194,Saber
195,Branding
195,Marketing
196,HubSpot
196,Marketing
197,Saber
197,Tableau
199,Software
199,Tempo
199,Windows
200,Business
200,Business Intelligence
200,Science
201,Analytics
201,Body Shop
201,Data Visualization
201,LATAM
201,Marketing
201,Pilates
201,Storytelling
202,Business
202,Pricing
203,Analytics
203,Software
203,Storytelling
205,Coaching
205,Microsoft Office
205,Tempo
207,Analytics
207,Web Analytics
208,Access
208,Analytics
208,Architecture
208,Business
208,Cost Savings
208,Customer Experience
208,Email
208,Enterprise Software
208,Folders
208,Hiring
208,Professional Services
208,Recruiting
208,Root Cause
208,Savings
208,Software
208,Architecture
209,Data Science
209,Science
211,Analysis
211,Analytics
211,Business
211,Data Analysis
211,Data Mining
211,Equal Employment Opportunity
211,Financial Services
211,Fraud
211,Loans
211,Machine Learning
211,Marketing
211,Mining
211,Modeling
211,Policy
211,Predictive Modeling
211,Programming
211,Underwriting
212,Analysis
212,Analytics
212,Business
212,Communication
212,Data Analysis
212,Modeling
212,Oversight
212,Scala
